"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844399126420783259","Thu Oct 10 15:26:33 +0000 2024","60","Gus Imin @cakimiNOW : Seluruh legislator PKB pusat sampai daerah optimis dan siap mensukseskan target pertumbuhan ekonomi hingga 8 % yg dicanangkan oleh Presiden terpilih Pak @prabowo https://t.co/59BiwFXC75","1844399126420783259","https://pbs.twimg.com/amplify_video_thumb/1844398928734846976/img/GVviU4qc_-VIy3EO.jpg","","in","Depok, Indonesia","0","6","15","https://x.com/zainul_munas/status/1844399126420783259","65409203","zainul_munas"
"1844233988640211174","Thu Oct 10 04:30:21 +0000 2024","18","Dengar-dengar info Sarimin ini gak kebagian kursi Menteri ya? Ya wajar sih saya juga bisa memahami alasan Pak Prabowo. Secara si Sarimin ini kan orangnya memang gak punya pendirian banget. Khilaf-khilaf Sarimin ini bisa jadi musuh dalam sarung. https://t.co/Hv3ASZKu62","1844233988640211174","https://pbs.twimg.com/ext_tw_video_thumb/1844233883979751424/pu/img/uB4YjX_5lNCm-Kl1.jpg","","in","Indonesia","0","2","15","https://x.com/seruanhl/status/1844233988640211174","1174287141909590017","seruanhl"
"1845012250710639035","Sat Oct 12 08:02:53 +0000 2024","42","Cak Imin Ngaku Belum Diajak Prabowo Bertemu Bahas Jatah Menteri PKB di Kabinet https://t.co/o0kPsczkfK nih ye.. https://t.co/hI4clwj3ko","1845012250710639035","https://pbs.twimg.com/ext_tw_video_thumb/1845012214698344448/pu/img/aSyraKdmp4rIoE_A.jpg","","in","Di Hatimu! ","1","12","15","https://x.com/NgkongRoses/status/1845012250710639035","2650421658","NgkongRoses"
"1844311369862324704","Thu Oct 10 09:37:50 +0000 2024","749","Habib Umar Alhamid: Gibran Duri dalam Daging di Pemerintahan Prabowo https://t.co/jmAeeD1EVe","1844311369862324704","","","in","","7","64","307","https://x.com/OposisiCerdas/status/1844311369862324704","887743587579944960","OposisiCerdas"
"1844314919426228468","Thu Oct 10 09:51:57 +0000 2024","29","Prabowo Subianto: Koalisi Gemuk Agar Pemerintahan Kuat... Negara kita Besar bung! https://t.co/fls0z0ufwZ","1844314919426228468","https://pbs.twimg.com/ext_tw_video_thumb/1844314611828523008/pu/img/jBgCMS5BhZMfhkzI.jpg","","in","Bandung, Jawa Barat","3","23","12","https://x.com/tijabar/status/1844314919426228468","2395238000","tijabar"
"1843318394738901310","Mon Oct 07 15:52:07 +0000 2024","22","Prabowo Didorong Libatkan KPK jika Bikin Zaken Kabinet https://t.co/CZhKnpMjAT","1843318394738901310","","","in","Indonesia","1","5","6","https://x.com/rmol_id/status/1843318394738901310","990237626","rmol_id"
"1844241096387461248","Thu Oct 10 04:58:36 +0000 2024","72","Prabowo Jawab Kritik soal Buat Kabinet Gemuk: Negara Kita Besar Bung! https://t.co/kwjVvJeCtM","1844241096387461248","","","in","Indonesia","27","174","20","https://x.com/KompasTV/status/1844241096387461248","71436318","KompasTV"
"1845430215855702185","Sun Oct 13 11:43:44 +0000 2024","19","Juru bicara Anies Baswedan Sahrin Hamid menanggapi soal apakah mantan Gubernur Jakarta itu akan hadir pelantikan Presiden Terpilih Prabowo Subianto. Pada Pilpres 2024 lalu Anies Baswedan menjadi salah satu rival Prabowo Subianto. Meski demikian menurut Sahrin jika diundang https://t.co/7u8OBi11Wm","1845430215855702185","https://pbs.twimg.com/media/GZxI_w7bkAAJgvu.jpg","","in","Pulo Gadung, Indonesia","1","10","4","https://x.com/tvOneNews/status/1845430215855702185","55507370","tvOneNews"
"1844351246460912060","Thu Oct 10 12:16:18 +0000 2024","318","Keren Qodari...berani 1 lawan 5 Dari dulu Pak Prabowo mau ketemu Mak Banteng jual mahal...sekarang Pak Prabowo akan menjadi Presiden RI 1 baru mau ketemu...nanti klo ketemu 1 piring nasi goreng mau minta byk jabatan https://t.co/diffDzopZB","1844351246460912060","https://pbs.twimg.com/ext_tw_video_thumb/1844351209446240256/pu/img/xCehFsPBdKe0ZmB_.jpg","","in","","3","45","79","https://x.com/tham878/status/1844351246460912060","1759100655783043072","tham878"
"1843925404459147462","Wed Oct 09 08:04:09 +0000 2024","2470","Apa video prabowo dan gibran ini asli ges? https://t.co/o2Kg1xvjMO","1843925404459147462","https://pbs.twimg.com/amplify_video_thumb/1843925344166055936/img/3AnjnwI_hNMnFT1x.jpg","","in","DKI Jakarta","52","188","434","https://x.com/UmarSyadatHsb__/status/1843925404459147462","312049767","UmarSyadatHsb__"
"1844000719445332064","Wed Oct 09 13:03:26 +0000 2024","365","Selamat kepada Bapak @prabowo sebagai Presiden terpilih Indonesia yang akan dilantik pada 20 Oktober 2024. {sebuah utas singkat} https://t.co/NkwPexlXls","1844000719445332064","https://pbs.twimg.com/media/GZczgruaoAA22Kw.jpg","","in","Pondok Cina, Depok","69","87","35","https://x.com/neohistoria_id/status/1844000719445332064","1495326248100589569","neohistoria_id"
"1844654286204293538","Fri Oct 11 08:20:28 +0000 2024","22","Jokowi Tegaskan Tak Cawe-cawe soal Menteri Prabowo: Tapi Kalau Ditanya ya Saya Jawab https://t.co/A2NiONy9fo","1844654286204293538","","","in","Indonesia","5","37","7","https://x.com/geloraco/status/1844654286204293538","3319260420","geloraco"
"1843832269892628990","Wed Oct 09 01:54:04 +0000 2024","151","Presiden @jokowi dan Presiden terpilih @prabowo semalam berbincang santai sambil bersantap malam Banyak hal didiskusikan selama 2 jam-an Ini bukan tentang Prabowo Subianto juga bukan tentang Jokowi tetapi tentang Indonesia. Tentang rakyat ! Ini masa berat tapi percayalah https://t.co/cdQtIozvDy","1843832269892628990","https://pbs.twimg.com/ext_tw_video_thumb/1843831751615135744/pu/img/wP5jjbL7spEsCZ4Z.jpg","","in","","3","44","31","https://x.com/BANGSAygSUJUD/status/1843832269892628990","1189039138835554304","BANGSAygSUJUD"
