id_str,full_text
1751806310226821183,Dukung Ganjar-Mahfud AYOO..!!! Gabung Anies-Cak Imin BOLEEHHH..!!! Punya Presiden Prabowo-Gibran ya sudah ikhlas. Saya sekarang sudah sampai pada tahap Gak Apa-apa. ️ https://t.co/fMqgXxmASU
1832979819338027198,Segagah gagah nya MAYOR TEDDY dalam mengawal PRABOWO Segarang garangnya PENDUKUNG PRABOWO membela dan nyebokin Prabowo saat dia blunder Itu semua tidak ada guna nya jika kalian semua hanya diam Melihat PRABOWO DIHINA ANAK PRABOWO DIKATAIN HOMO sama akun KASKUS FUFUFAFA https://t.co/ChBQKHWw41
1759913953134821835,Alhamdulillah telah diresmikan Rumah Sakit Pusat Pertahanan Negara (RSPPN) Panglima Besar Soedirman dan 25 rumah sakit TNI lain yang tersebar di berbagai Provinsi di Indonesia. Terima kasih Bapak Presiden RI @jokowi yang berkenan hadir dan meresmikan langsung. RSPPN ini https://t.co/iF5C8kQadz
1843852306783318528,Beredar bocoran susunan menteri Prabowo. Ini info A1 apa A0 gaes? https://t.co/cbey1X9vdj
1760906327860334598,Ada yang aneh pada saat Pelantikan Menteri baru di Istana kemarin. Pak Jokowi dan Prabowo sama² disematkan Pin Kepresidenan. Halo @KPU_ID apakah prabowo sudah resmi sebagai Presiden RI ? Jadi Pengen tau pendapat Prof @mohmahfudmd tentang ini. https://t.co/v1JNOsEF3J
1828663170782896528,Jokowi Mulyono Dinasty HAS FALLEN siasat Prabowo mulai berjalan mulus : ️ Airin tiba2 didukung oleh Golkar sedangkan KIM Plus sempat sepakat mendukung Andra-Dimyati. Ini artinya Partai Gerindra cs akan melawan Golkar dan PDI Perjuangan ️ Mashel Widianto tiba2 ditinggal https://t.co/p78e3FIlF8
1843857336877912402,Pertemuan tadi malam di Senayan sepertinya malah menghadirkan rasa AMARAH Pertemuan itu bukan sekadar makan malam biasa. Tapi salah satunya ada upaya menjembatani agar rekonsiliasi antara Prabowo dan Gibran bisa secepatnya terjalin agar suasana TEGANG bisa cair seperti tahun https://t.co/G7SoBHAcGG
1842555566662840740,Saya dengan penuh kebanggaan menyematkan Tanda Kehormatan Bintang Bhayangkara Utama kepada Panglima TNI KASAD KASAL dan KASAU di Rupattama Gedung Utama Mabes Polri. Tanda Kehormatan tersebut diberikan oleh Pemerintah Republik Indonesia untuk menghormati jasa Panglima TNI https://t.co/zsUnc3KBAQ
1744732560385884310,Bu @KhofifahIP kenapa Masa Jabatanya Jadi Mundur ?? Harusnya Selesai Tanggal 31 Desember 2023 jadi 13 Februari 2024 . Sebegininya Ya demi Kepentingan Prabowo-Gibran .??? Masyarakat Mungkin Pada tidak menggagas Issu ini kan ?? Padahal penundaan Masa Jabatan melalui MK dan Di https://t.co/ZSNnfjgX1N
1843952594131275945,Jika susuna kabinet ini valid maka usaha Sarimin bersama PKB GAGAL maning utk mendapatkan perhatian dari Prabowo Udah capek2 bikin pansus Haji demi kursi Menteri Agama tapi dilepeh juga? https://t.co/XkNVDyxbX5
