id_str,full_text,hurufKecil_fullText,cleaning,tokenizing,stopword,stemming,cleaning_stemmed
1843478535530524927,Halo pak @ahriesonta @ListyoSigitP @DivHumas_Polri @KPAI_official @jokowi @prabowo @gibran_tweet @habiburokhman ijin bapak pejabat Budiman kasus pelecehan yang terjadi di yayasan Annur Tangerang sudah bagaiaman kelanjutan nya pak dan sudah ada pendampingan dr PPA polri KPAI dan https://t.co/Lv54TacnxQ,halo pak @ahriesonta @listyosigitp @divhumas_polri @kpai_official @jokowi @prabowo @gibran_tweet @habiburokhman ijin bapak pejabat budiman kasus pelecehan yang terjadi di yayasan annur tangerang sudah bagaiaman kelanjutan nya pak dan sudah ada pendampingan dr ppa polri kpai dan https://t.co/lv54tacnxq,halo pak   polri official   tweet  ijin bapak pejabat budiman kasus pelecehan yang terjadi di yayasan annur tangerang sudah bagaiaman kelanjutan nya pak dan sudah ada pendampingan dr ppa polri kpai dan,"['halo', 'pak', 'polri', 'official', 'tweet', 'ijin', 'bapak', 'pejabat', 'budiman', 'kasus', 'pelecehan', 'yang', 'terjadi', 'di', 'yayasan', 'annur', 'tangerang', 'sudah', 'bagaiaman', 'kelanjutan', 'nya', 'pak', 'dan', 'sudah', 'ada', 'pendampingan', 'dr', 'ppa', 'polri', 'kpai', 'dan']","['halo', 'pak', 'polri', 'official', 'tweet', 'ijin', 'bapak', 'pejabat', 'budiman', 'kasus', 'pelecehan', 'terjadi', 'yayasan', 'annur', 'tangerang', 'bagaiaman', 'kelanjutan', 'nya', 'pak', 'pendampingan', 'dr', 'ppa', 'polri', 'kpai']","['halo', 'pak', 'polri', 'official', 'tweet', 'ijin', 'bapak', 'jabat', 'budiman', 'kasus', 'leceh', 'jadi', 'yayasan', 'annur', 'tangerang', 'bagaiaman', 'lanjut', 'nya', 'pak', 'damping', 'dr', 'ppa', 'polri', 'kpai']",halo pak polri official tweet ijin bapak jabat budiman kasus leceh jadi yayasan annur tangerang bagaiaman lanjut nya pak damping dr ppa polri kpai
1842777644884234615,Modal awal survei di 83 4 % di pemerintahan @prabowo #JudolBlock #GakNgerokokCuy #WeTreasureYou_Mandiri #PLNElectricRun https://t.co/PJeRCzTvaO,modal awal survei di 83 4 % di pemerintahan @prabowo #judolblock #gakngerokokcuy #wetreasureyou_mandiri #plnelectricrun https://t.co/pjercztvao,modal awal survei di    di pemerintahan    mandiri,"['modal', 'awal', 'survei', 'di', 'di', 'pemerintahan', 'mandiri']","['modal', 'awal', 'survei', 'pemerintahan', 'mandiri']","['modal', 'awal', 'survei', 'perintah', 'mandiri']",modal awal survei perintah mandiri
1843562816026149343,ngapain peduli sama influencer presiden lu noh prabowo wakilnya fufufafa blm lg israel masih genosida palestina skrg nambah lebanon sama syiria. https://t.co/qcLXSToonM,ngapain peduli sama influencer presiden lu noh prabowo wakilnya fufufafa blm lg israel masih genosida palestina skrg nambah lebanon sama syiria. https://t.co/qclxstoonm,ngapain peduli sama influencer presiden lu noh prabowo wakilnya fufufafa blm lg israel masih genosida palestina skrg nambah lebanon sama syiria,"['ngapain', 'peduli', 'sama', 'influencer', 'presiden', 'lu', 'noh', 'prabowo', 'wakilnya', 'fufufafa', 'blm', 'lg', 'israel', 'masih', 'genosida', 'palestina', 'skrg', 'nambah', 'lebanon', 'sama', 'syiria']","['ngapain', 'peduli', 'sama', 'influencer', 'presiden', 'lu', 'noh', 'prabowo', 'wakilnya', 'fufufafa', 'blm', 'lg', 'israel', 'genosida', 'palestina', 'skrg', 'nambah', 'lebanon', 'sama', 'syiria']","['ngapain', 'peduli', 'sama', 'influencer', 'presiden', 'lu', 'noh', 'prabowo', 'wakil', 'fufufafa', 'blm', 'lg', 'israel', 'genosida', 'palestina', 'skrg', 'nambah', 'lebanon', 'sama', 'syiria']",ngapain peduli sama influencer presiden lu noh prabowo wakil fufufafa blm lg israel genosida palestina skrg nambah lebanon sama syiria
1842452744382337039,Tarik ulur pertemuan Megawati-Prabowo PDIP mainkan politik 'jaga pelanggan' ? Ada tanggapan lur? tulis di kolom komentar ya! #megawati #prabowo #pelanggansetia #infografis https://t.co/paJ4RwQa0l,tarik ulur pertemuan megawati-prabowo pdip mainkan politik 'jaga pelanggan' ? ada tanggapan lur? tulis di kolom komentar ya! #megawati #prabowo #pelanggansetia #infografis https://t.co/paj4rwqa0l,tarik ulur pertemuan megawatiprabowo pdip mainkan politik jaga pelanggan  ada tanggapan lur tulis di kolom komentar ya,"['tarik', 'ulur', 'pertemuan', 'megawatiprabowo', 'pdip', 'mainkan', 'politik', 'jaga', 'pelanggan', 'ada', 'tanggapan', 'lur', 'tulis', 'di', 'kolom', 'komentar', 'ya']","['tarik', 'ulur', 'pertemuan', 'megawatiprabowo', 'pdip', 'mainkan', 'politik', 'jaga', 'pelanggan', 'tanggapan', 'lur', 'tulis', 'kolom', 'komentar']","['tarik', 'ulur', 'temu', 'megawatiprabowo', 'pdip', 'main', 'politik', 'jaga', 'langgan', 'tanggap', 'lur', 'tulis', 'kolom', 'komentar']",tarik ulur temu megawatiprabowo pdip main politik jaga langgan tanggap lur tulis kolom komentar
1842472524971753482,Gomah malah salfok sama Pak Prabowo yg gandeng tangannya Mbah Ma'ruf Amin https://t.co/drHMPZBVHi,gomah malah salfok sama pak prabowo yg gandeng tangannya mbah ma'ruf amin https://t.co/drhmpzbvhi,gomah malah salfok sama pak prabowo yg gandeng tangannya mbah maruf amin,"['gomah', 'malah', 'salfok', 'sama', 'pak', 'prabowo', 'yg', 'gandeng', 'tangannya', 'mbah', 'maruf', 'amin']","['gomah', 'malah', 'salfok', 'sama', 'pak', 'prabowo', 'yg', 'gandeng', 'tangannya', 'mbah', 'maruf', 'amin']","['gomah', 'malah', 'salfok', 'sama', 'pak', 'prabowo', 'yg', 'gandeng', 'tangan', 'mbah', 'maruf', 'amin']",gomah malah salfok sama pak prabowo yg gandeng tangan mbah maruf amin
1843535547157164522,Makan gratis yang diusung presiden Prabowo Subianto akan akan diberikan dua kali sehari. Adik kandung Prabowo Hashim Djojohadikusumo mengatakan makan bergizi gratis untuk anak sekolah balita dan ibu hamil atau menysui akan diberikan pada pagi dan siang hari. #SmartNews https://t.co/tHzz2YNZD9,makan gratis yang diusung presiden prabowo subianto akan akan diberikan dua kali sehari. adik kandung prabowo hashim djojohadikusumo mengatakan makan bergizi gratis untuk anak sekolah balita dan ibu hamil atau menysui akan diberikan pada pagi dan siang hari. #smartnews https://t.co/thzz2ynzd9,makan gratis yang diusung presiden prabowo subianto akan akan diberikan dua kali sehari adik kandung prabowo hashim djojohadikusumo mengatakan makan bergizi gratis untuk anak sekolah balita dan ibu hamil atau menysui akan diberikan pada pagi dan siang hari,"['makan', 'gratis', 'yang', 'diusung', 'presiden', 'prabowo', 'subianto', 'akan', 'akan', 'diberikan', 'dua', 'kali', 'sehari', 'adik', 'kandung', 'prabowo', 'hashim', 'djojohadikusumo', 'mengatakan', 'makan', 'bergizi', 'gratis', 'untuk', 'anak', 'sekolah', 'balita', 'dan', 'ibu', 'hamil', 'atau', 'menysui', 'akan', 'diberikan', 'pada', 'pagi', 'dan', 'siang', 'hari']","['makan', 'gratis', 'diusung', 'presiden', 'prabowo', 'subianto', 'diberikan', 'kali', 'sehari', 'adik', 'kandung', 'prabowo', 'hashim', 'djojohadikusumo', 'mengatakan', 'makan', 'bergizi', 'gratis', 'anak', 'sekolah', 'balita', 'ibu', 'hamil', 'menysui', 'diberikan', 'pagi', 'siang', 'hari']","['makan', 'gratis', 'usung', 'presiden', 'prabowo', 'subianto', 'beri', 'kali', 'hari', 'adik', 'kandung', 'prabowo', 'hashim', 'djojohadikusumo', 'kata', 'makan', 'gizi', 'gratis', 'anak', 'sekolah', 'balita', 'ibu', 'hamil', 'menysui', 'beri', 'pagi', 'siang', 'hari']",makan gratis usung presiden prabowo subianto beri kali hari adik kandung prabowo hashim djojohadikusumo kata makan gizi gratis anak sekolah balita ibu hamil menysui beri pagi siang hari
1843617316166349200,Kalimat pertanyaan wartawannya di saat pelantikan Pak Prabowo.... .... .... Jadi bukan maksudnya hadir atau tidak. Itu pertanyaan lain yg diajukan wartawan dengerin baik-baik. Enggak mungkin kalau enggak hadir selama ada umur logikanya anaknya dilantik jadi Wapres jg kan ,kalimat pertanyaan wartawannya di saat pelantikan pak prabowo.... .... .... jadi bukan maksudnya hadir atau tidak. itu pertanyaan lain yg diajukan wartawan dengerin baik-baik. enggak mungkin kalau enggak hadir selama ada umur logikanya anaknya dilantik jadi wapres jg kan ,kalimat pertanyaan wartawannya di saat pelantikan pak prabowo   jadi bukan maksudnya hadir atau tidak itu pertanyaan lain yg diajukan wartawan dengerin baikbaik enggak mungkin kalau enggak hadir selama ada umur logikanya anaknya dilantik jadi wapres jg kan,"['kalimat', 'pertanyaan', 'wartawannya', 'di', 'saat', 'pelantikan', 'pak', 'prabowo', 'jadi', 'bukan', 'maksudnya', 'hadir', 'atau', 'tidak', 'itu', 'pertanyaan', 'lain', 'yg', 'diajukan', 'wartawan', 'dengerin', 'baikbaik', 'enggak', 'mungkin', 'kalau', 'enggak', 'hadir', 'selama', 'ada', 'umur', 'logikanya', 'anaknya', 'dilantik', 'jadi', 'wapres', 'jg', 'kan']","['kalimat', 'pertanyaan', 'wartawannya', 'pelantikan', 'pak', 'prabowo', 'jadi', 'bukan', 'maksudnya', 'hadir', 'pertanyaan', 'yg', 'diajukan', 'wartawan', 'dengerin', 'baikbaik', 'enggak', 'mungkin', 'kalau', 'enggak', 'hadir', 'selama', 'umur', 'logikanya', 'anaknya', 'dilantik', 'jadi', 'wapres', 'jg', 'kan']","['kalimat', 'tanya', 'wartawannya', 'lantik', 'pak', 'prabowo', 'jadi', 'bukan', 'maksud', 'hadir', 'tanya', 'yg', 'aju', 'wartawan', 'dengerin', 'baikbaik', 'enggak', 'mungkin', 'kalau', 'enggak', 'hadir', 'lama', 'umur', 'logika', 'anak', 'lantik', 'jadi', 'wapres', 'jg', 'kan']",kalimat tanya wartawannya lantik pak prabowo jadi bukan maksud hadir tanya yg aju wartawan dengerin baikbaik enggak mungkin kalau enggak hadir lama umur logika anak lantik jadi wapres jg kan
1843145738190266387,Om Dewan Habiburokhman di Apa Kabar Indonesia Pagi TV One: Pertanyaan soal menteri dari PDIP atau kapan pertemuan Bu Mega dan Pak Prabowo sudah kurang relevan. Secara de facto komunikasi dan kerja sama politik antara PDIP dan Gerindra di DPR sudah berjalan sangat baik. Ada tiga https://t.co/6m645xMF0c,om dewan habiburokhman di apa kabar indonesia pagi tv one: pertanyaan soal menteri dari pdip atau kapan pertemuan bu mega dan pak prabowo sudah kurang relevan. secara de facto komunikasi dan kerja sama politik antara pdip dan gerindra di dpr sudah berjalan sangat baik. ada tiga https://t.co/6m645xmf0c,om dewan habiburokhman di apa kabar indonesia pagi tv one pertanyaan soal menteri dari pdip atau kapan pertemuan bu mega dan pak prabowo sudah kurang relevan secara de facto komunikasi dan kerja sama politik antara pdip dan gerindra di dpr sudah berjalan sangat baik ada tiga,"['om', 'dewan', 'habiburokhman', 'di', 'apa', 'kabar', 'indonesia', 'pagi', 'tv', 'one', 'pertanyaan', 'soal', 'menteri', 'dari', 'pdip', 'atau', 'kapan', 'pertemuan', 'bu', 'mega', 'dan', 'pak', 'prabowo', 'sudah', 'kurang', 'relevan', 'secara', 'de', 'facto', 'komunikasi', 'dan', 'kerja', 'sama', 'politik', 'antara', 'pdip', 'dan', 'gerindra', 'di', 'dpr', 'sudah', 'berjalan', 'sangat', 'baik', 'ada', 'tiga']","['om', 'dewan', 'habiburokhman', 'apa', 'kabar', 'indonesia', 'pagi', 'tv', 'one', 'pertanyaan', 'soal', 'menteri', 'pdip', 'kapan', 'pertemuan', 'bu', 'mega', 'pak', 'prabowo', 'kurang', 'relevan', 'de', 'facto', 'komunikasi', 'kerja', 'sama', 'politik', 'pdip', 'gerindra', 'dpr', 'berjalan', 'sangat', 'baik', 'tiga']","['om', 'dewan', 'habiburokhman', 'apa', 'kabar', 'indonesia', 'pagi', 'tv', 'one', 'tanya', 'soal', 'menteri', 'pdip', 'kapan', 'temu', 'bu', 'mega', 'pak', 'prabowo', 'kurang', 'relevan', 'de', 'facto', 'komunikasi', 'kerja', 'sama', 'politik', 'pdip', 'gerindra', 'dpr', 'jalan', 'sangat', 'baik', 'tiga']",om dewan habiburokhman apa kabar indonesia pagi tv one tanya soal menteri pdip kapan temu bu mega pak prabowo kurang relevan de facto komunikasi kerja sama politik pdip gerindra dpr jalan sangat baik tiga
1843520675396628540,Ini mirip pilpres kemarin. Caleg PDIP dukung Prabowo-Gibran bukan malah kampanyekan capres dari partainya. Mereka tau diri kalo jagoan dari partai tidak bagus https://t.co/5hCxoHwnSC,ini mirip pilpres kemarin. caleg pdip dukung prabowo-gibran bukan malah kampanyekan capres dari partainya. mereka tau diri kalo jagoan dari partai tidak bagus https://t.co/5hcxohwnsc,ini mirip pilpres kemarin caleg pdip dukung prabowogibran bukan malah kampanyekan capres dari partainya mereka tau diri kalo jagoan dari partai tidak bagus,"['ini', 'mirip', 'pilpres', 'kemarin', 'caleg', 'pdip', 'dukung', 'prabowogibran', 'bukan', 'malah', 'kampanyekan', 'capres', 'dari', 'partainya', 'mereka', 'tau', 'diri', 'kalo', 'jagoan', 'dari', 'partai', 'tidak', 'bagus']","['mirip', 'pilpres', 'kemarin', 'caleg', 'pdip', 'dukung', 'prabowogibran', 'bukan', 'malah', 'kampanyekan', 'capres', 'partainya', 'tau', 'diri', 'kalo', 'jagoan', 'partai', 'bagus']","['mirip', 'pilpres', 'kemarin', 'caleg', 'pdip', 'dukung', 'prabowogibran', 'bukan', 'malah', 'kampanye', 'capres', 'partai', 'tau', 'diri', 'kalo', 'jago', 'partai', 'bagus']",mirip pilpres kemarin caleg pdip dukung prabowogibran bukan malah kampanye capres partai tau diri kalo jago partai bagus
1843091067773833677,Untuk sementara berita ini bisa jadi bencana buat dinasti Mulyono. Krn Mulyono punya kpntingan ngejagain anak mantunya dr sergapan @KPK_RI Tinggal kita liat gmna Prabowo aja.. Mau nyikat korupsi gak? Ato ikut gaya Mulyono? https://t.co/03LA62PV0t https://t.co/O1RHQAziLC,untuk sementara berita ini bisa jadi bencana buat dinasti mulyono. krn mulyono punya kpntingan ngejagain anak mantunya dr sergapan @kpk_ri tinggal kita liat gmna prabowo aja.. mau nyikat korupsi gak? ato ikut gaya mulyono? https://t.co/03la62pv0t https://t.co/o1rhqazilc,untuk sementara berita ini bisa jadi bencana buat dinasti mulyono krn mulyono punya kpntingan ngejagain anak mantunya dr sergapan ri tinggal kita liat gmna prabowo aja mau nyikat korupsi gak ato ikut gaya mulyono,"['untuk', 'sementara', 'berita', 'ini', 'bisa', 'jadi', 'bencana', 'buat', 'dinasti', 'mulyono', 'krn', 'mulyono', 'punya', 'kpntingan', 'ngejagain', 'anak', 'mantunya', 'dr', 'sergapan', 'ri', 'tinggal', 'kita', 'liat', 'gmna', 'prabowo', 'aja', 'mau', 'nyikat', 'korupsi', 'gak', 'ato', 'ikut', 'gaya', 'mulyono']","['berita', 'jadi', 'bencana', 'buat', 'dinasti', 'mulyono', 'krn', 'mulyono', 'punya', 'kpntingan', 'ngejagain', 'anak', 'mantunya', 'dr', 'sergapan', 'ri', 'tinggal', 'liat', 'gmna', 'prabowo', 'aja', 'mau', 'nyikat', 'korupsi', 'gak', 'ato', 'ikut', 'gaya', 'mulyono']","['berita', 'jadi', 'bencana', 'buat', 'dinasti', 'mulyono', 'krn', 'mulyono', 'punya', 'kpntingan', 'ngejagain', 'anak', 'mantu', 'dr', 'sergap', 'ri', 'tinggal', 'liat', 'gmna', 'prabowo', 'aja', 'mau', 'nyikat', 'korupsi', 'gak', 'ato', 'ikut', 'gaya', 'mulyono']",berita jadi bencana buat dinasti mulyono krn mulyono punya kpntingan ngejagain anak mantu dr sergap ri tinggal liat gmna prabowo aja mau nyikat korupsi gak ato ikut gaya mulyono
1843284303066857704,Selamat datang Pak Prabowo Selamat jalan Pak jokowi ️🇲🇨 setiap perubahan membawa harapan baru &amp; kita rakyat Indonesia menyambutnya dengan penuh optimisme. Dan dengan antusiasme yang sama Kita menyambut @prabowo yang akan meneruskan perjalanan &amp; membawa Bangsa ke kemakmuran. https://t.co/YqrqhQzHWn,selamat datang pak prabowo selamat jalan pak jokowi ️🇲🇨 setiap perubahan membawa harapan baru &amp; kita rakyat indonesia menyambutnya dengan penuh optimisme. dan dengan antusiasme yang sama kita menyambut @prabowo yang akan meneruskan perjalanan &amp; membawa bangsa ke kemakmuran. https://t.co/yqrqhqzhwn,selamat datang pak prabowo selamat jalan pak jokowi  setiap perubahan membawa harapan baru amp kita rakyat indonesia menyambutnya dengan penuh optimisme dan dengan antusiasme yang sama kita menyambut  yang akan meneruskan perjalanan amp membawa bangsa ke kemakmuran,"['selamat', 'datang', 'pak', 'prabowo', 'selamat', 'jalan', 'pak', 'jokowi', 'setiap', 'perubahan', 'membawa', 'harapan', 'baru', 'amp', 'kita', 'rakyat', 'indonesia', 'menyambutnya', 'dengan', 'penuh', 'optimisme', 'dan', 'dengan', 'antusiasme', 'yang', 'sama', 'kita', 'menyambut', 'yang', 'akan', 'meneruskan', 'perjalanan', 'amp', 'membawa', 'bangsa', 'ke', 'kemakmuran']","['selamat', 'datang', 'pak', 'prabowo', 'selamat', 'jalan', 'pak', 'jokowi', 'perubahan', 'membawa', 'harapan', 'baru', 'amp', 'rakyat', 'indonesia', 'menyambutnya', 'penuh', 'optimisme', 'antusiasme', 'sama', 'menyambut', 'meneruskan', 'perjalanan', 'amp', 'membawa', 'bangsa', 'kemakmuran']","['selamat', 'datang', 'pak', 'prabowo', 'selamat', 'jalan', 'pak', 'jokowi', 'ubah', 'bawa', 'harap', 'baru', 'amp', 'rakyat', 'indonesia', 'sambut', 'penuh', 'optimisme', 'antusiasme', 'sama', 'sambut', 'terus', 'jalan', 'amp', 'bawa', 'bangsa', 'makmur']",selamat datang pak prabowo selamat jalan pak jokowi ubah bawa harap baru amp rakyat indonesia sambut penuh optimisme antusiasme sama sambut terus jalan amp bawa bangsa makmur
